Category,English,French,Italian,Russian,Russian (translit.),Greek,Greek (translit.)
Numbers,zero,zéro,zero,ноль,nol',μηδέν,midén
Numbers,one,un,uno,один,odin,ένα,éna
Numbers,two,deux,due,два,dva,δύο,dío
Numbers,three,trois,tre,три,tri,τρία,tría
Numbers,four,quatre,quattro,четыре,chetýre,τέσσερα,téssera
Numbers,five,cinq,cinque,пять,pyat',πέντε,pénde
Numbers,six,six,sei,шесть,shest',έξι,éxi
Numbers,seven,sept,sette,семь,sem',επτά,eptá
Numbers,eight,huit,otto,восемь,vósem',οκτώ,októ
Numbers,nine,neuf,nove,девять,dévyat',εννέα,ennéa
Numbers,ten,dix,dieci,десять,désyat',δέκα,déka
Numbers,eleven,onze,undici,одиннадцать,odínnadtsat',έντεκα,éndeka
Numbers,twelve,douze,dodici,двенадцать,dvenádtsat',δώδεκα,dódeka
Numbers,thirteen,treize,tredici,тринадцать,trinádtsat',δεκατρία,dekatría
Numbers,fourteen,quatorze,quattordici,четырнадцать,chetýrnadtsat',δεκατέσσερα,dekatéssera
Numbers,fifteen,quinze,quindici,пятнадцать,pyatnádtsat',δεκαπέντε,dekapénde
Numbers,sixteen,seize,sedici,шестнадцать,shestnádtsat',δεκαέξι,dekaéxi
Numbers,seventeen,dix-sept,diciassette,семнадцать,semnádtsat',δεκαεπτά,dekaeptá
Numbers,eighteen,dix-huit,diciotto,восемнадцать,vosemnádtsat',δεκαοκτώ,dekaoktó
Numbers,nineteen,dix-neuf,diciannove,девятнадцать,devyatnádtsat',δεκαεννέα,dekaennéa
Numbers,twenty,vingt,venti,двадцать,dvádtsat',είκοσι,íkosi
Numbers,thirty,trente,trenta,тридцать,trídtsat',τριάντα,triánda
Numbers,forty,quarante,quaranta,сорок,sórok,σαράντα,saránda
Numbers,fifty,cinquante,cinquanta,пятьдесят,pyat'desyát,πενήντα,penínda
Numbers,sixty,soixante,sessanta,шестьдесят,shest'desyát,εξήντα,exínda
Numbers,seventy,soixante-dix,settanta,семьдесят,sém'desyat,εβδομήντα,evdomínda
Numbers,eighty,quatre-vingts,ottanta,восемьдесят,vósem'desyat,ογδόντα,ogdónda
Numbers,ninety,quatre-vingt-dix,novanta,девяносто,devyanósto,ενενήντα,enenínda
Numbers,hundred,cent,cento,сто,sto,εκατό,ekató
Days,Monday,lundi,lunedì,понедельник,ponedél'nik,Δευτέρα,Deftéra
Days,Tuesday,mardi,martedì,вторник,vtórnik,Τρίτη,Tríti
Days,Wednesday,mercredi,mercoledì,среда,sredá,Τετάρτη,Tetárti
Days,Thursday,jeudi,giovedì,четверг,chetvérg,Πέμπτη,Pémpti
Days,Friday,vendredi,venerdì,пятница,pyátnitsa,Παρασκευή,Paraskeví
Days,Saturday,samedi,sabato,суббота,subbóta,Σάββατο,Sávato
Days,Sunday,dimanche,domenica,воскресенье,voskresén'ye,Κυριακή,Kiriakí
Months,January,janvier,gennaio,январь,yanvár',Ιανουάριος,Ianouários
Months,February,février,febbraio,февраль,fevrál',Φεβρουάριος,Fevrouários
Months,March,mars,marzo,март,mart,Μάρτιος,Mártios
Months,April,avril,aprile,апрель,aprél',Απρίλιος,Aprílios
Months,May,mai,maggio,май,may,Μάιος,Máios
Months,June,juin,giugno,июнь,iyún',Ιούνιος,Ioúnios
Months,July,juillet,luglio,июль,iyúl',Ιούλιος,Ioúlios
Months,August,août,agosto,август,ávgust,Αύγουστος,Ávgoustos
Months,September,septembre,settembre,сентябрь,sentyábr',Σεπτέμβριος,Septémvrios
Months,October,octobre,ottobre,октябрь,oktyábr',Οκτώβριος,Októvrios
Months,November,novembre,novembre,ноябрь,noyábr',Νοέμβριος,Noémvrios
Months,December,décembre,dicembre,декабрь,dekábr',Δεκέμβριος,Dekémvrios
Seasons,spring,printemps,primavera,весна,vesná,άνοιξη,ánixi
Seasons,summer,été,estate,лето,léto,καλοκαίρι,kalokéri
Seasons,autumn,automne,autunno,осень,ósen',φθινόπωρο,fthinóporo
Seasons,winter,hiver,inverno,зима,zimá,χειμώνας,chimónas
Colors,white,blanc,bianco,белый,bélyy,άσπρο,áspro
Colors,black,noir,nero,чёрный,chyórnyy,μαύρο,mávro
Colors,red,rouge,rosso,красный,krásnyy,κόκκινο,kókkino
Colors,blue,bleu,blu,синий,síniy,μπλε,ble
Colors,green,vert,verde,зелёный,zelyónyy,πράσινο,prásino
Colors,yellow,jaune,giallo,жёлтый,zhyóltyy,κίτρινο,kítrino
Colors,orange,orange,arancione,оранжевый,oránzhevyy,πορτοκαλί,portokalí
Colors,pink,rose,rosa,розовый,rózovyy,ροζ,roz
Colors,brown,marron,marrone,коричневый,korichnevyy,καφέ,kafé
Colors,grey,gris,grigio,серый,séryy,γκρι,gri
Colors,purple,violet,viola,фиолетовый,fioletovyy,μοβ,mov
Colors,gold,doré,dorato,золотой,zolotóy,χρυσό,chrysó
Family,mother,mère,madre,мать,mat',μητέρα,mitéra
Family,father,père,padre,отец,otéts,πατέρας,patéras
Family,parents,parents,genitori,родители,rodíteli,γονείς,gonís
Family,son,fils,figlio,сын,syn,γιος,yos
Family,daughter,fille,figlia,дочь,doch',κόρη,kóri
Family,child,enfant,bambino,ребёнок,rebyónok,παιδί,pedí
Family,brother,frère,fratello,брат,brat,αδελφός,adelfós
Family,sister,sœur,sorella,сестра,sestrá,αδελφή,adelfí
Family,grandmother,grand-mère,nonna,бабушка,bábushka,γιαγιά,yayá
Family,grandfather,grand-père,nonno,дедушка,dédushka,παππούς,papoús
Family,husband,mari,marito,муж,muzh,σύζυγος,sízygos
Family,wife,femme,moglie,жена,zhená,σύζυγος,sízygos
Family,family,famille,famiglia,семья,sem'yá,οικογένεια,ikogénia
Family,uncle,oncle,zio,дядя,dyádya,θείος,thíos
Family,aunt,tante,zia,тётя,tyótya,θεία,thía
Family,cousin,cousin,cugino,двоюродный брат,dvoyúrodnyy brat,ξάδελφος,xádelfos
Family,baby,bébé,bambino/a,младенец,mladénets,μωρό,moró
Family,man,homme,uomo,мужчина,muzhchína,άντρας,ándras
Family,woman,femme,donna,женщина,zhénshchina,γυναίκα,gynéka
Family,friend,ami,amico,друг,drug,φίλος,fílos
Greetings,hello,bonjour,ciao,привет,privét,γεια,ya
Greetings,goodbye,au revoir,arrivederci,до свидания,do svidániya,αντίο,adío
Greetings,please,s'il vous plaît,per favore,пожалуйста,pozháluysta,παρακαλώ,parakaló
Greetings,thank you,merci,grazie,спасибо,spasíbo,ευχαριστώ,efcharistó
Greetings,you're welcome,de rien,prego,пожалуйста,pozháluysta,παρακαλώ,parakaló
Greetings,yes,oui,sì,да,da,ναι,ne
Greetings,no,non,no,нет,nyet,όχι,óchi
Greetings,excuse me,excusez-moi,scusi,извините,izviníte,συγγνώμη,signómi
Greetings,sorry,désolé,mi dispiace,извините,izviníte,λυπάμαι,lipáme
Greetings,good morning,bonjour,buongiorno,доброе утро,dóbroye útro,καλημέρα,kaliméra
